parent_ids,child_ids,times
1430,1431,61
26840,1433,34
60011,1434,44
1436,1435,51
9908,1436,48
64182,1437,50
1439,1438,53
91590,1439,49
81384,1440,53
72263,1441,58
7201,1443,50
37696,1445,46
90335,1446,45
1446,1447,52
11916,1448,62
67787,1449,40
47949,1450,50
2947,1451,49
1455,1454,51
13784,1455,47
28965,1456,40
18376,1457,40
35432,1458,67
1460,1459,52
80017,1460,47
90944,1461,43
1461,1462,48
79030,1463,37
90067,1465,46
33005,1466,32
1471,1467,35
94802,1468,37
1468,1469,39
1467,1470,40
79667,1471,30
1467,1472,45
28587,1473,46
47105,1474,43
1474,1475,45
4857,1476,56
24289,1477,54
85601,1478,48
19356,1479,36
39494,1480,47
38277,1481,45
46816,1482,38
20173,1483,62
1485,1484,45
1482,1485,42
71785,1486,29
86766,1487,42
1486,1488,33
22761,1490,52
1494,1493,54
48499,1494,48
11387,1497,41
23612,1498,50
35938,1499,38
72867,1500,54
11960,1501,50
7115,1502,46
54142,1503,48
3831,1504,48
92412,1505,61
24979,1509,47
48955,1510,46
57053,1511,52
3087,1512,52
70735,1513,49
85805,1514,58
18973,1515,56
88463,1517,63
18371,1518,45
8750,1519,48
28134,1520,47
1520,1521,52
16928,1522,50
29120,1524,48
8289,1525,48
1524,1526,54
98603,1527,48
54470,1528,53
63576,1529,39
1529,1530,47
59457,1532,57
45528,1534,46
5319,1535,50
18863,1536,57
53799,1537,43
1537,1538,46
90159,1539,44
1539,1540,53
9084,1541,48
69379,1543,46
88349,1544,57
82731,1545,55
67415,1546,41
80063,1547,53
45345,1548,41
88653,1549,47
44087,1550,53
89640,1551,47
68235,1552,57
95396,1553,57
74753,1554,49
10960,1555,37
1406,1556,36
15180,1557,52
17701,1558,50
38365,1559,65
1239,1560,45
64091,1563,49
50615,1564,47
59859,1565,41
1565,1566,44
92994,1567,58
72468,1568,54
86050,1570,50
33005,1571,33
59961,1572,29
39966,1573,55
1575,1574,57
41365,1575,49
40011,1577,43
42432,1579,45
6298,1580,61
1583,1581,53
10343,1582,53
24937,1583,46
58182,1584,51
1587,1585,56
40167,1586,49
7771,1587,53
68341,1588,44
79730,1589,63
99425,1590,55
65502,1591,53
44172,1594,43
72475,1595,31
12379,1596,51
28165,1597,58
42050,1598,53
39236,1599,36
1599,1600,42
89001,1601,43
88344,1602,47
41156,1603,42
27080,1604,52
23699,1605,46
37708,1607,49
29891,1609,51
1609,1610,57
33428,1611,44
1609,1612,55
1609,1613,56
79515,1614,47
59687,1615,52
29552,1616,44
78667,1618,58
48698,1619,57
50221,1620,59
84579,1621,50
74557,1622,48
34414,1623,54
1622,1624,54
30073,1625,46
1627,1626,45
65705,1627,41
1627,1628,49
45476,1629,65
43059,1630,52
9687,1631,48
31879,1634,46
90755,1635,53
27139,1636,49
22218,1637,50
411,1638,52
40493,1639,36
37882,1640,63
9146,1641,46
14124,1643,53
14126,1644,55
68087,1645,51
90990,1646,51
76342,1647,70
1649,1648,57
96877,1649,52
67378,1650,40
1652,1651,50
20637,1652,44
1652,1653,52
1652,1654,49
4207,1655,42
11413,1656,45
1656,1657,48
98461,1658,48
57733,1659,69
15477,1660,42
23924,1662,49
17990,1663,53
69936,1664,49
6653,1665,45
58962,1666,48
67915,1667,53
1666,1668,51
25183,1669,37
74018,1670,42
90929,1671,60
69329,1672,49
28928,1673,60
1675,1674,48
98847,1675,43
52753,1676,60
77163,1677,50
52302,1678,63
6043,1679,48
1681,1680,56
3628,1681,51
43353,1682,41
53640,1683,36
41898,1685,52
21570,1686,51
1689,1688,39
1690,1689,36
67551,1690,30
63839,1691,56
1690,1692,38
46091,1694,47
1696,1695,57
14679,1696,53
98740,1697,37
62926,1698,55
44114,1699,52
79815,1701,43
91560,1702,53
1704,1703,48
76030,1704,42
96635,1705,42
75830,1706,42
14778,1707,50
17732,1708,48
1708,1709,53
33026,1712,49
151,1713,70
89955,1714,49
59103,1716,54
28538,1718,39
24964,1719,43
42353,1720,45
34400,1722,48
1724,1723,39
67981,1724,34
88424,1725,38
1725,1726,42
1726,1727,46
70409,1728,53
92325,1729,42
54216,1730,61
54193,1731,47
40177,1732,58
72729,1733,48
89036,1734,45
1734,1735,49
94732,1736,64
70575,1737,47
76321,1738,70
12720,1739,60
50229,1740,52
49579,1741,37
27177,1742,34
19252,1743,43
1743,1744,46
48428,1745,52
95333,1746,41
1746,1747,44
85284,1749,51
4068,1750,56
10261,1751,54
26194,1752,47
1752,1753,49
1752,1754,50
1752,1755,52
24831,1757,55
65921,1758,50
55501,1760,49
47832,1761,59
61645,1763,51
52639,1764,59
73232,1765,37
3967,1766,58
64019,1767,53
17343,1768,53
80762,1769,54
28092,1770,54
86524,1771,54
32074,1772,42
22367,1773,46
17416,1775,46
1775,1776,51
9570,1777,39
1777,1778,45
1781,1779,64
1781,1780,60
41232,1781,53
18265,1782,40
15629,1783,57
67724,1784,42
44849,1785,53
67191,1787,44
72160,1789,43
1792,1790,45
1790,1791,49
22237,1792,42
1792,1793,46
1793,1794,50
1792,1795,47
17007,1796,20
1796,1797,24
13411,1798,43
468,1800,59
18761,1801,54
97720,1802,44
5290,1803,41
1802,1804,50
7042,1805,52
1805,1806,57
1806,1807,59
1805,1808,55
39687,1810,60
79030,1811,35
77702,1812,56
19441,1813,39
1813,1814,43
8976,1815,37
8607,1816,61
10748,1817,49
91586,1818,53
7676,1819,41
72598,1820,49
15373,1824,54
31428,1825,52
16209,1826,84
22902,1827,36
67981,1828,36
1828,1829,41
1828,1830,40
42310,1831,63
15866,1832,52
91170,1833,51
19613,1834,63
42912,1835,55
26641,1836,49
1835,1837,58
72342,1838,46
81962,1839,50
1838,1840,52
1838,1841,52
1838,1842,52
3438,1843,43
1843,1844,49
34897,1845,34
1845,1846,41
90766,1847,46
94377,1849,68
15726,1850,43
20246,1852,81
46049,1853,51
66613,1854,49
77674,1855,41
85178,1856,38
35478,1857,38
25067,1858,46
87610,1859,47
84982,1860,56
1862,1861,52
98814,1862,47
42481,1864,67
10000,1865,54
7197,1866,43
1870,1867,54
88878,1868,55
18993,1870,47
33315,1871,47
46274,1872,69
11745,1874,60
1874,1875,68
86828,1876,52
47060,1877,34
77420,1879,36
1879,1880,41
1879,1881,43
44410,1883,46
74354,1884,45
7844,1885,41
6124,1886,61
1888,1887,55
1111,1888,51
1306,1889,52
42724,1890,45
77179,1891,39
1891,1892,42
1892,1893,47
7392,1894,43
68287,1895,40
77310,1896,44
34101,1897,20
46223,1898,56
5476,1899,45
1903,1900,55
68967,1901,55
7764,1903,53
35394,1904,54
10262,1905,52
40106,1906,49
20456,1907,43
71731,1908,56
23061,1909,53
1911,1910,53
11851,1911,49
92656,1912,50
86515,1913,51
47989,1914,46
1966,1917,64
96250,1918,49
86264,1919,58
40265,1921,61
98823,1922,55
29635,1923,52
86277,1924,60
52001,1925,42
13031,1926,48
92626,1927,56
74923,1928,36
1931,1929,51
86247,1930,75
51745,1931,49
1930,1932,80
1930,1933,81
70827,1934,40
31699,1935,56
15839,1936,53
1940,1938,50
95990,1939,39
92223,1940,43
42724,1941,47
1941,1942,52
60739,1943,44
14051,1944,52
96505,1945,44
28470,1946,46
48457,1947,51
41384,1948,48
66854,1949,47
1948,1950,53
62714,1951,45
59663,1952,46
28470,1953,43
20473,1954,41
8433,1955,47
1958,1957,66
93808,1958,56
47306,1960,60
1958,1961,63
91858,1962,71
9076,1963,47
14712,1965,60
56762,1966,49
94220,1967,53
1969,1968,43
5447,1969,37
83337,1970,32
1974,1972,56
16540,1973,51
28288,1974,53
1974,1975,59
83243,1976,53
50587,1977,52
89677,1978,64
92499,1979,35
44079,1980,53
66029,1981,47
1983,1982,48
57551,1983,44
97598,1984,43
12007,1985,39
10705,1986,38
4974,1987,53
98236,1988,53
78744,1989,39
80439,1991,38
1669,1992,45
45460,1993,38
78965,1996,45
94279,1997,48
23266,1998,56
27272,1999,39
89501,2001,39
11114,2002,45
28830,2003,44
2003,2004,47
6783,2005,62
24035,2006,70
210,2007,57
2007,2008,65
63511,2009,27
70851,2010,41
2010,2011,47
44477,2012,39
24176,2013,41
777,2014,49
92718,2015,43
61565,2016,51
29534,2017,49
97508,2020,41
38991,2021,45
84991,2022,44
66529,2023,26
2023,2024,29
2023,2025,32
11379,2027,54
34964,2028,60
93066,2030,51
30981,2031,43
2031,2032,48
46287,2033,56
42349,2034,35
31528,2035,59
97055,2038,30
37991,2039,40
38988,2040,47
24669,2041,52
14027,2042,49
11765,2044,52
2047,2046,42
43961,2047,34
8807,2048,43
56078,2049,49
24161,2050,46
85012,2051,62
56069,2052,53
11655,2053,54
68688,2055,40
43816,2059,40
32321,2060,50
86062,2061,51
3830,2062,45
2065,2063,58
19836,2064,47
79485,2065,52
2065,2067,61
6901,2068,44
89458,2069,45
726,2070,40
95506,2071,50
85570,2072,49
63288,2073,44
2072,2074,54
813,2075,39
71416,2076,39
78773,2077,35
2077,2078,40
18573,2079,51
35546,2080,51
40985,2081,60
53180,2082,59
2087,2083,53
2086,2084,29
16130,2085,44
77377,2086,25
35151,2087,47
54085,2088,44
45489,2092,54
38157,2093,55
2095,2094,48
1027,2095,42
14606,2096,58
8641,2097,51
56577,2098,52
56494,2099,53
77245,2100,46
46859,2101,44
2100,2102,52
11715,2103,49
2107,2104,49
2107,2105,49
57413,2106,48
40397,2107,44
573,2108,57
17146,2110,48
2110,2111,51
24741,2112,65
92513,2113,49
67814,2115,47
71488,2116,72
35480,2117,49
84835,2118,62
24747,2119,42
2119,2120,53
82937,2121,34
6558,2122,53
31262,2123,38
52890,2124,55
72924,2125,51
44877,2126,49
12925,2127,57
48985,2128,50
89842,2130,46
49275,2131,68
17124,2132,54
2327,2133,53
46192,2134,55
77261,2135,36
73143,2136,68
63914,2138,38
42608,2139,47
196,2140,53
90274,2141,48
38775,2143,48
72818,2144,46
50892,2145,48
8452,2146,54
77428,2147,45
5301,2148,52
69189,2149,50
2153,2150,52
41697,2151,42
2153,2152,54
44646,2153,48
72632,2154,34
43859,2155,49
86828,2156,51
2158,2157,54
39268,2158,50
46267,2160,43
99343,2162,40
29802,2163,43
2166,2164,51
74753,2165,48
8266,2166,45
1120,2167,35
65457,2168,45
20723,2169,52
94993,2170,44
80511,2171,44
67857,2172,59
18692,2173,50
2177,2175,56
2177,2176,52
81612,2177,50
53320,2178,44
44513,2179,53
77086,2180,53
2182,2181,54
22589,2182,47
23051,2183,41
9474,2184,41
45938,2185,52
56381,2186,48
17837,2187,55
20601,2189,47
10889,2191,55
43235,2192,38
58798,2193,41
26378,2195,52
